,Run,FlowCellID,Age,AssayType,AssemblyName,AvgSpotLen,Bases,BiomaterialProvider,BioProject,BioSample,BioSampleModel,Bytes,CellLine,CenterName,Consent,DataStoreFileType,DataStoreProvider,DataStoreRegion,Disease,DiseaseStage,Ethnicity,Experiment,Instrument,Isolate,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,SampleName,SampleType,Sex,SRAStudy,Tissue,CreateDate,CreateDateBatch,Version,StudyID,PatientID,AnnotationSource,CancerType,CancerTypeDetailed,CellLineSource,Characteristics,DepMapID,DiseaseOntology,DoublingTimeHrs,FractionGenomeAltered,FreezingMedium,GenomeDoublings,GeographicDistribution,GrowthMedium,Histology,HistologySubtype1,HistologySubtype2,LifeStage,Lineage,LineageMolecularSubtype,LineageSubtype,LineageSubSubtype,MutationCount,MutationRate,CellLineNickName,OncotreeCode,PathologistAnnotation,Ploidy,PrimaryTumorSite,Proteomics10PlexID,ProteomicsTMTLabel,Purity,SiteOfFinding,SiteSubtype1,SiteSubtype2,Subtype,Supplements,TMBNonSynonymous
0,SRR8615620,20190224_PRJNA523380_SRR8615620,6.0,RNA-Seq,GCA_000001405.13,202,26699582098,GNF,PRJNA523380,SAMN10988169,Human,13318029334,TE 159.T,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",rhabdomyosarcoma,primary,Caucasian,SRX5414780,Illumina HiSeq 2500,cell line,RNASeq-TE159T_FIBROBLAST,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,TE159T_FIBROBLAST,cell culture,male,SRP186687,soft_tissue,2019-02-24T00:00:00Z,2019-02-24,1.0,ccle_broad_2019,TE159T_FIBROBLAST,CCLE,Soft Tissue Sarcoma,Rhabdomyosarcoma,GNF,,ACH-000175,rhabdomyosarcoma,,,,0.0,,,Rhabdomyosarcoma,NS,NS,,fibroblast,,fibroblast_soft_tissue,,127.0,96.53034257,TE 159.T,RMS,,2.0,Soft_Tissue,,,1.0,,striated_muscle,NS,Soft tissue,,4.3
1,SRR8615665,20190224_PRJNA523380_SRR8615665,55.0,RNA-Seq,GCA_000001405.13,202,19766214292,GNF,PRJNA523380,SAMN10987865,Human,9724748543,HuG1-N,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma,primary,Asian,SRX5414735,Illumina HiSeq 2500,cell line,RNASeq-HUG1N_STOMACH,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,HUG1N_STOMACH,cell culture,male,SRP186687,stomach,2019-02-24T00:22:00Z,2019-02-24,1.0,ccle_broad_2019,HUG1N_STOMACH,CCLE,Esophagogastric Cancer,Stomach Adenocarcinoma,GNF,,ACH-000239,,,0.7421,,1.0,japan,,Carcinoma,NS,NS,,gastric,,gastric_adenocarcinoma,tubular,216.0,146.9369947,HuG1-N,STAD,Gastric:Carcinoma,2.9,Stomach,22.0,127n,1.0,,NS,NS,"Adenocarcinoma, tubular",,7.36666666667
2,SRR8615671,20190224_PRJNA523380_SRR8615671,80.0,RNA-Seq,GCA_000001405.13,202,30942671484,ATCC:SW 780,PRJNA523380,SAMN10988174,Human,14849400248,SW 780,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (transitional_cell_carcinoma),primary,Caucasian,SRX5414729,Illumina HiSeq 2500,cell line,RNASeq-SW780_URINARY_TRACT,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SW780_URINARY_TRACT,cell culture,female,SRP186687,urinary_tract,2019-02-24T00:06:00Z,2019-02-24,1.0,ccle_broad_2019,SW780_URINARY_TRACT,CCLE,Bladder Cancer,Bladder Urothelial Carcinoma,ATCC,Adherent,ACH-000384,,92.9,0.4021,5% DMSO,0.0,,L15 + 10% FBS,Carcinoma,transitional_cell_carcinoma,NS,,urinary_tract,,bladder_carcinoma,bladder_transitional_cell,233.0,93.14475754,SW 780,BLCA,Bladder:Carcinoma,1.95,Urinary_Tract,,,1.0,,bladder,NS,Transitional Cell Carcinoma,,7.8
3,SRR8615688,20190224_PRJNA523380_SRR8615688,,RNA-Seq,GCA_000001405.13,202,29696917688,Unknown,PRJNA523380,SAMN10988042,Human,14925153299,U-118 MG,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioma (astrocytoma),primary,Caucasian,SRX5414712,Illumina HiSeq 2500,cell line,RNASeq-U118MG_CENTRAL_NERVOUS_SYSTEM,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,U118MG_CENTRAL_NERVOUS_SYSTEM,cell culture,Unknown,SRP186687,central_nervous_system,2019-02-24T00:19:00Z,2019-02-24,1.0,ccle_broad_2019,U118MG_CENTRAL_NERVOUS_SYSTEM,CCLE,Glioma,Astrocytoma,,Adherent,ACH-000040,brain_cancer,49.9,0.4407,5% DMSO,2.0,,DMEM+10% FBS,Glioma,astrocytoma,NS,,central_nervous_system,,glioma,astrocytoma,168.0,73.11071221,U-118 MG,ASTR,CNS:Glioma,5.2,Central_Nervous_System,26.0,127n,0.98,,brain,NS,Astrocytoma,,5.8
4,SRR8615693,20190224_PRJNA523380_SRR8615693,,RNA-Seq,GCA_000001405.13,202,16226883816,Unknown,PRJNA523380,SAMN10988401,Human,8695057390,U343,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioma (astrocytoma_Grade_III),Unknown,Caucasian,SRX5414707,Illumina HiSeq 2500,cell line,RNASeq-U343_CENTRAL_NERVOUS_SYSTEM,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,U343_CENTRAL_NERVOUS_SYSTEM,cell culture,Unknown,SRP186687,central_nervous_system,2019-02-24T00:02:00Z,2019-02-24,1.0,ccle_broad_2019,U343_CENTRAL_NERVOUS_SYSTEM,ACHILLES,Glioma,Astrocytoma,,,ACH-000036,,,0.4436,,1.0,,,Glioma,astrocytoma_Grade_III,NS,,central_nervous_system,,glioma,glioblastoma,98.0,116.6695226,U343,ASTR,,2.91,Central_Nervous_System,,,0.99,,NS,NS,Glioblastoma,,3.3
5,SRR8615694,20190224_PRJNA523380_SRR8615694,19.0,RNA-Seq,GCA_000001405.13,202,23189061266,PT-6ZZI,PRJNA523380,SAMN10989586,Human,12231679261,MOLT-3,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",lymphoid_neoplasm (acute_lymphoblastic_T_cell_leukaemia),Unknown,Caucasian,SRX5414706,Illumina HiSeq 2500,cell line,RNASeq-MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,male,SRP186687,haematopoietic_and_lymphoid_tissue,2019-02-24T00:14:00Z,2019-02-24,1.0,ccle_broad_2019,MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,COSMIC,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,PT-6ZZI,suspension,ACH-000964,leukaemia,50.9,,5% DMSO,,,RPMI + 10 % FBS,Lymphoid_Neoplasm,acute_lymphoblastic_T_cell_leukaemia,NS,,blood,,ALL,t_cell,1750.0,529.6768544,MOLT-3,TLL,Leukemia:ALL,,Haematopoietic_And_Lymphoid_Tissue,,,,,NS,NS,"Acute Lymphoblastic Leukemia (ALL), T-cell",,58.3
6,SRR8615699,20190224_PRJNA523380_SRR8615699,67.0,RNA-Seq,GCA_000001405.13,202,23625463278,GNF,PRJNA523380,SAMN10988144,Human,12423348728,MPP 89,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mesothelioma,metastasis,Caucasian,SRX5414701,Illumina HiSeq 2500,cell line,RNASeq-MPP89_PLEURA,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,MPP89_PLEURA,cell culture,male,SRP186687,pleura,2019-02-24T00:03:00Z,2019-02-24,1.0,ccle_broad_2019,MPP89_PLEURA,CCLE,Mesothelioma,Pleural Mesothelioma,GNF,,ACH-000319,,,0.4134,,1.0,,,Mesothelioma,NS,NS,,lung,,mesothelioma,,248.0,92.85643096,MPP 89,PLMESO,Lung:Mesothelioma,2.33,Pleura,,,0.99,pleura,NS,NS,Mesothelioma,,8.4
7,SRR8615722,20190224_PRJNA523380_SRR8615722,17.0,RNA-Seq,GCA_000001405.13,202,21686220858,DSMZ:RH-30,PRJNA523380,SAMN10988045,Human,11638539659,RH-30,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",rhabdomyosarcoma (alveolar),metastasis,Caucasian,SRX5414678,Illumina HiSeq 2500,cell line,RNASeq-RH30_SOFT_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,RH30_SOFT_TISSUE,cell culture,male,SRP186687,soft_tissue,2019-02-24T00:06:00Z,2019-02-24,1.0,ccle_broad_2019,RH30_SOFT_TISSUE,CCLE,Soft Tissue Sarcoma,Alveolar Rhabdomyosarcoma,DSMZ,adherent epithelial-like cells growing as monolayer,ACH-000833,,,0.4922,,2.0,,90-95% RPMI 1640 +5-10 h.i. FBS,Rhabdomyosarcoma,alveolar,NS,,soft_tissue,,rhabdomyosarcoma,alveolar,442.0,195.104647,RH-30,ARMS,Soft_Tissue:Sarcoma_Rhabdoid,4.6,Soft_Tissue,35.0,128c,0.98,bone_marrow,striated_muscle,NS,"Rhabdomyosarcoma, alveolar",,14.8333333333
8,SRR8615724,20190224_PRJNA523380_SRR8615724,,RNA-Seq,GCA_000001405.13,202,17103986804,Unknown,PRJNA523380,SAMN10989625,Human,9114723408,TTC709,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Unknown,Unknown,Unknown,SRX5414676,Illumina HiSeq 2500,cell line,RNASeq-TTC709_SOFT_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,TTC709_SOFT_TISSUE,cell culture,Unknown,SRP186687,soft_tissue,2019-02-24T00:04:00Z,2019-02-24,1.0,ccle_broad_2019,TTC709_SOFT_TISSUE,,Rhabdoid Cancer,Rhabdoid Cancer,,,ACH-000597,,,,,,,,,,,,soft_tissue,,malignant_rhabdoid_tumor,,206.0,,,MRT,,,,,,,,,,Malignant Rhabdoid Tumor,,6.9
9,SRR8615733,20190224_PRJNA523380_SRR8615733,,RNA-Seq,GCA_000001405.13,202,18753898362,GNF,PRJNA523380,SAMN10987813,Human,9499096392,GCIY,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),primary,Asian,SRX5414667,Illumina HiSeq 2500,cell line,RNASeq-GCIY_STOMACH,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,GCIY_STOMACH,cell culture,female,SRP186687,stomach,2019-02-24T00:09:00Z,2019-02-24,1.0,ccle_broad_2019,GCIY_STOMACH,CCLE,Esophagogastric Cancer,Stomach Adenocarcinoma,GNF,,ACH-000047,,,0.7602,,1.0,,,Carcinoma,adenocarcinoma,NS,,gastric,,gastric_adenocarcinoma,,255.0,88.66578456,GCIY,STAD,Gastric:Carcinoma,2.75,Stomach,,,1.0,,NS,NS,Adenocarcinoma,,8.66666666667
