,Run,FlowCellID,Age,AssayType,AssemblyName,AvgSpotLen,Bases,BiomaterialProvider,BioProject,BioSample,BioSampleModel,Bytes,CellLine,CenterName,Consent,DataStoreFileType,DataStoreProvider,DataStoreRegion,Disease,DiseaseStage,Ethnicity,Experiment,Instrument,Isolate,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,SampleName,SampleType,Sex,SRAStudy,Tissue,CreateDate,CreateDateBatch,Version,StudyID,PatientID,AnnotationSource,CancerType,CancerTypeDetailed,CellLineSource,Characteristics,DepMapID,DiseaseOntology,DoublingTimeHrs,FractionGenomeAltered,FreezingMedium,GenomeDoublings,GeographicDistribution,GrowthMedium,Histology,HistologySubtype1,HistologySubtype2,LifeStage,Lineage,LineageMolecularSubtype,LineageSubtype,LineageSubSubtype,MutationCount,MutationRate,CellLineNickName,OncotreeCode,PathologistAnnotation,Ploidy,PrimaryTumorSite,Proteomics10PlexID,ProteomicsTMTLabel,Purity,SiteOfFinding,SiteSubtype1,SiteSubtype2,Subtype,Supplements,TMBNonSynonymous
0,SRR8618300,20190225_PRJNA523380_SRR8618300,,RNA-Seq,GCA_000001405.13,198,7981472612,DSMZ:VM-CUB1,PRJNA523380,SAMN10988492,Human,3734214672,VM-CUB1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (transitional_cell_carcinoma),primary,Caucasian,SRX5417216,Illumina HiSeq 2500,cell line,RNASeq-VMCUB1_URINARY_TRACT,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,VMCUB1_URINARY_TRACT,cell culture,male,SRP186687,urinary_tract,2019-02-25T09:59:00Z,2019-02-25,1.0,ccle_broad_2019,VMCUB1_URINARY_TRACT,CCLE,Bladder Cancer,Bladder Urothelial Carcinoma,DSMZ,Adherent,ACH-000545,,63.3,0.3848,0.05% DMSO,1.0,,DMEM +10%FBS,Carcinoma,transitional_cell_carcinoma,NS,,urinary_tract,,bladder_carcinoma,bladder_transitional_cell,554.0,98.84264251,VM-CUB1,BLCA,Bladder:Carcinoma,2.07,Urinary_Tract,,,0.99,,bladder,NS,Transitional Cell Carcinoma,,18.7333333333
1,SRR8618301,20190225_PRJNA523380_SRR8618301,63.0,RNA-Seq,GCA_000001405.13,202,12039337966,ATCC:ZR-75-1,PRJNA523380,SAMN10988134,Human,5730856855,ZR-75-1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (ductal_carcinoma),metastasis,Caucasian,SRX5417215,Illumina HiSeq 2500,cell line,RNASeq-ZR751_BREAST,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,ZR751_BREAST,cell culture,female,SRP186687,breast,2019-02-25T10:02:00Z,2019-02-25,1.0,ccle_broad_2019,ZR751_BREAST,CCLE,Breast Cancer,Invasive Breast Carcinoma,ATCC,adherent epithelial,ACH-000097,breast_cancer,88.7,0.3956,5% DMSO,1.0,,RPMI-1640 + 10% FBS,Carcinoma,ductal_carcinoma,NS,,breast,luminal,breast_ductal_carcinoma,ERpos_HER2neg,251.0,65.39011856,ZR-75-1,BRCA,Breast:Carcinoma,3.3,Breast,10.0,129c,1.0,ascites,NS,NS,Breast Ductal Carcinoma,,8.5
2,SRR8618302,20190225_PRJNA523380_SRR8618302,,RNA-Seq,GCA_000001405.13,202,13775598464,GNF,PRJNA523380,SAMN10987974,Human,6645802365,WM-983B,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",malignant_melanoma,primary,Caucasian,SRX5417214,Illumina HiSeq 2500,cell line,RNASeq-WM983B_SKIN,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,WM983B_SKIN,cell culture,Unknown,SRP186687,skin,2019-02-25T10:09:00Z,2019-02-25,1.0,ccle_broad_2019,WM983B_SKIN,CCLE,Melanoma,Cutaneous Melanoma,GNF,,ACH-000765,,,0.8566,,1.0,,,Malignant_Melanoma,NS,NS,,skin,,melanoma,,342.0,173.5115056,WM-983B,SKCM,Skin:Melanoma,2.59,Skin,,,1.0,,NS,NS,Melanoma,,11.3666666667
3,SRR8618303,20190225_PRJNA523380_SRR8618303,,RNA-Seq,GCA_000001405.13,202,11509818398,GNF,PRJNA523380,SAMN10987992,Human,5545350448,WM-88,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",malignant_melanoma,primary,Caucasian,SRX5417213,Illumina HiSeq 2500,cell line,RNASeq-WM88_SKIN,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,WM88_SKIN,cell culture,Unknown,SRP186687,skin,2019-02-25T10:05:00Z,2019-02-25,1.0,ccle_broad_2019,WM88_SKIN,CCLE,Melanoma,Cutaneous Melanoma,GNF,,ACH-000899,,,0.6004,,0.0,,,Malignant_Melanoma,NS,NS,,skin,,melanoma,,815.0,258.8512253,WM-88,SKCM,Skin:Melanoma,2.32,Skin,32.0,127n,1.0,,NS,NS,Melanoma,,27.1666666667
4,SRR8618304,20190225_PRJNA523380_SRR8618304,47.0,RNA-Seq,GCA_000001405.13,202,16492482506,GNF,PRJNA523380,SAMN10988534,Human,8291017371,ZR-75-30,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (ductal_carcinoma),metastasis,African_american,SRX5417212,Illumina HiSeq 2500,cell line,RNASeq-ZR7530_BREAST,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,ZR7530_BREAST,cell culture,female,SRP186687,breast,2019-02-25T10:11:00Z,2019-02-25,1.0,ccle_broad_2019,ZR7530_BREAST,CCLE,Breast Cancer,Invasive Breast Carcinoma,GNF,,ACH-000828,breast_cancer,,0.4669,,0.0,,,Carcinoma,ductal_carcinoma,NS,,breast,HER2_amp,breast_ductal_carcinoma,ERpos_HER2pos,385.0,175.8765413,ZR-75-30,BRCA,Breast:Carcinoma,1.98,Breast,,,1.0,ascites,NS,NS,Breast Ductal Carcinoma,,12.9666666667
5,SRR8618305,20190225_PRJNA523380_SRR8618305,59.0,RNA-Seq,GCA_000001405.13,202,27508630276,ATCC:VCaP,PRJNA523380,SAMN10988209,Human,13991231805,VCaP,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),metastasis,Caucasian,SRX5417211,Illumina HiSeq 2500,cell line,RNASeq-VCAP_PROSTATE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,VCAP_PROSTATE,cell culture,male,SRP186687,prostate,2019-02-25T10:40:00Z,2019-02-25,1.0,ccle_broad_2019,VCAP_PROSTATE,CCLE,Prostate Cancer,Prostate Adenocarcinoma,ATCC,Adherent,ACH-000115,prostate_cancer,,0.512,5% DMSO,1.0,,DMEM + 10% FBS,Carcinoma,adenocarcinoma,NS,,prostate,,prostate_adenocarcinoma,,158.0,84.97649095,VCaP,PRAD,Prostate:Carcinoma,3.38,Prostate,21.0,130c,1.0,vertebra,NS,NS,Adenocarcinoma,,5.53333333333
6,SRR8618306,20190225_PRJNA523380_SRR8618306,43.0,RNA-Seq,GCA_000001405.13,202,12849129908,DSMZ:YAPC,PRJNA523380,SAMN10988032,Human,6177272611,YAPC,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma,metastasis,Asian,SRX5417210,Illumina HiSeq 2500,cell line,RNASeq-YAPC_PANCREAS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,YAPC_PANCREAS,cell culture,male,SRP186687,pancreas,2019-02-25T10:04:00Z,2019-02-25,1.0,ccle_broad_2019,YAPC_PANCREAS,CCLE,Pancreatic Cancer,Pancreatic Adenocarcinoma,DSMZ,Adherent,ACH-000332,,72.7,0.583,10% DMSO,1.0,japan,RPMI-1640 + 10% FBS,Carcinoma,NS,NS,,pancreas,,exocrine,exocrine_adenocarcinoma,229.0,115.5254055,YAPC,PAAD,Pancreas:Carcinoma,3.2,Pancreas,,,1.0,ascites,NS,NS,"Ductal Adenocarcinoma, exocrine",,7.73333333333
7,SRR8618307,20190225_PRJNA523380_SRR8618307,41.0,RNA-Seq,GCA_000001405.13,202,10002189580,DSMZ:WSU-DLCL2,PRJNA523380,SAMN10989570,Human,4696713405,WSU-DLCL2,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",lymphoid_neoplasm (diffuse_large_B_cell_lymphoma),metastasis,Caucasian,SRX5417209,Illumina HiSeq 2500,cell line,RNASeq-WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,male,SRP186687,haematopoietic_and_lymphoid_tissue,2019-02-25T10:03:00Z,2019-02-25,1.0,ccle_broad_2019,WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DSMZ,supension,ACH-000534,diffuse large cell lymphoma non-cleaved type,49.3,0.1101,10% DMSO,0.0,,RPMI-1640 + 10% FBS,Lymphoid_Neoplasm,diffuse_large_B_cell_lymphoma,NS,,lymphocyte,,non_hodgkin_lymphoma,DLBCL,231.0,100.8372372,WSU-DLCL2,DLBCLNOS,Lymphoma:NH_B_cell,2.07,Haematopoietic_And_Lymphoid_Tissue,,,0.99,pleura,NS,NS,Diffuse Large B-cell Lymphoma (DLBCL),,7.76666666667
8,SRR8618308,20190225_PRJNA523380_SRR8618308,39.0,RNA-Seq,GCA_000001405.13,198,9297528906,KCLB:YD-15,PRJNA523380,SAMN10987726,Human,4372185733,YD-15,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (mucoepidermoid_carcinoma),primary,Asian,SRX5417208,Illumina HiSeq 2500,cell line,RNASeq-YD15_SALIVARY_GLAND,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,YD15_SALIVARY_GLAND,cell culture,male,SRP186687,salivary_gland,2019-02-25T10:02:00Z,2019-02-25,1.0,ccle_broad_2019,YD15_SALIVARY_GLAND,CCLE,Salivary Gland Cancer,Mucoepidermoid Carcinoma,KCLB,epithelial; monolayer,ACH-000836,,,0.4409,,1.0,,"RPMI 1640  with L-glutamine (300mg/L), 90%; heat inactivated fetal bovine serum (FBS),10%",Carcinoma,mucoepidermoid_carcinoma,NS,,upper_aerodigestive,,upper_aerodigestive_squamous,tongue,180.0,195.9930868,YD-15,MUCC,Salivary_Gland:Carcinoma,3.03,Salivary_Gland,,,1.0,,tongue,NS,"Squamous Cell Carcinoma, tongue",25mM Hepes and 25mM NaHCo3,5.93333333333
9,SRR8618309,20190225_PRJNA523380_SRR8618309,67.0,RNA-Seq,GCA_000001405.13,202,10874760698,KCLB:YD-10B,PRJNA523380,SAMN10987734,Human,5272969612,YD-10B,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (squamous_cell_carcinoma),primary,Asian,SRX5417207,Illumina HiSeq 2500,cell line,RNASeq-YD10B_UPPER_AERODIGESTIVE_TRACT,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,YD10B_UPPER_AERODIGESTIVE_TRACT,cell culture,male,SRP186687,upper_aerodigestive_tract,2019-02-25T10:02:00Z,2019-02-25,1.0,ccle_broad_2019,YD10B_UPPER_AERODIGESTIVE_TRACT,CCLE,Head and Neck Cancer,Oral Cavity Squamous Cell Carcinoma,KCLB,epithelial; monolayer,ACH-000723,,,0.5305,,1.0,,"RPMI 1640  with L-glutamine (300mg/L), 90%; heat inactivated fetal bovine serum (FBS),10%",Carcinoma,squamous_cell_carcinoma,NS,,upper_aerodigestive,,upper_aerodigestive_squamous,tongue,323.0,175.5844253,YD-10B,OCSC,Upper_Aerodigestive_Tract:Carcinoma,3.3,Upper_Aerodigestive_Tract,,,0.98,,mouth,tongue,"Squamous Cell Carcinoma, tongue",25mM Hepes and 25mM NaHCo3,10.7
